buyer_address,eth_price,usd_price,seller_address,event_date,token_id,transaction_hash,name
0x91338ccfb8c0adb7756034a82008531d7713009d,59.9,194171.84,0x1593110441ab4c5f2c133f21b0743b2b43e297cb,1/14/2022,1139,0x5f9f302686a496329d589882b177cfc5f2c3d1ab0e7f32c47aad0d17df8f816e,CryptoPunk #1139
0xafa796c9de9b22b46f0dc1922fe017582c5e10b5,63.95,207300.32,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,1/14/2022,3874,0x06d78978e335a6f3e2e3495bba34a162fcb5b17310a933fb2ca20e61ed13a6a4,CryptoPunk #3874
0x0000000000000000000000000000000000000000,50,162080,0xad4fa8a3af05080e6970aca4768d2be5f213c62d,1/14/2022,7969,0x443a2efe5b9a64e36ff3f017c23dc48fede6cf0f9ffd8cbdf4b19964e17e5ad5,CryptoPunk #7969
0x3e8faf5b3a4ef575a329f8c976ff27f286ab2643,67.95,220266.72,0x44a3ccddccae339d05200a8f4347f83a58847e52,1/14/2022,5231,0x41d38012499bd318835c35c89d9568793de0889e2962c0b4637b1c8a59dd9947,CryptoPunk #5231
0x0000000000000000000000000000000000000000,59,191254.4,0xfe31364ef9e04775be662eb9e112c752bad04760,1/14/2022,3193,0x5b6a81a42cb2dfd7662b0282d7d23465c628f2329a21ff0c51b967d77f94e331,CryptoPunk #3193
0x0000000000000000000000000000000000000000,82,265811.2,0x6f4a2d3a4f47f9c647d86c929755593911ee91ec,1/14/2022,3961,0x99efb4bfd3e841946c66c2291521209db01e5866113524049b3b857c79b95227,CryptoPunk #3961
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,68.88,232349.46,0x6611fe71c233e4e7510b2795c242c9a57790b376,1/13/2022,9056,0x9940791875fd5389a8dcb76aed80e06f11c5f486d27961c00cb360d765eba67b,CryptoPunk #9056
0x0000000000000000000000000000000000000000,60,202395,0x74dacd80d9b67912cb957966465ccc81e62ccc4f,1/13/2022,8335,0xfc1a9b93ac23e8e95de42bc6be8aff6ae45d8630f4d5d4cc3fa8be7a7eb8e9c7,CryptoPunk #8335
0xc66d5be823969895ec61ed3e4b81af4a208f4b7c,62.97,204075.0651,0x60e23da7a0b229902da892ddd6a839382eab04ca,1/12/2022,2354,0xa1cb3654bdcdf6e06e91bd7c932cdd357966cdabaa6a5a676d575d1b86886a2c,CryptoPunk #2354
0x91338ccfb8c0adb7756034a82008531d7713009d,60.95,197528.5885,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,1/12/2022,1915,0x9ec598e0f82039d491b932ba267e67b40a88c7e4ad32091e2875119ed2eb1637,CryptoPunk #1915
0x91338ccfb8c0adb7756034a82008531d7713009d,59.69,193445.1427,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,1/12/2022,1482,0x2e04dd906b1ea60b267bcde3bbd4afd4aca73d15bd8bd621dbe873a8980a79c5,CryptoPunk #1482
0x12039d90ba432109d2151425616c8d03e3d32183,82.95,268826.8485,0x6639c089adfba8bb9968da643c6be208a70d6daa,1/12/2022,4965,0x9c14698d7578f0b92276413a1e219aa4f99f534c5bf9e5d7a94bcb3b20b586d2,CryptoPunk #4965
0x65b1b96bd01926d3d60dd3c8bc452f22819443a9,66.66,216033.7278,0xcc7c335f3365ae3f7e4e8c9535dc92780a4add9d,1/12/2022,9504,0xc52f06272a9f4fe8c24edd8bbf8098277efa82f1aa8d88cdc844aa5b804a6ba7,CryptoPunk #9504
0xa8d31c4546a782085d81a1ec1598054400d7a2ae,79.9,258942.317,0x2891a448d93c6bcf50a80931062d9028f8c6e913,1/12/2022,6928,0x098a16440f28027ab38dffe8d831b8fa86cb36fcc189a477095170a579739bb8,CryptoPunk #6928
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,60,194449.8,0x7a01064728c79b52605d41edb5009b3b4c046d9a,1/12/2022,3080,0xce457c5ddde7706247e7cd2b297c4ef67822bd8b1aded2ec8bb8f99dc7a26fa6,CryptoPunk #3080
0x23d23d05eca973294c648be9db31e6e6ae90c0c7,65,200428.15,0xfe8d12bb904e686843e02f7ebc969651a80accde,1/11/2022,6050,0x287dd8d11616d9c608b9988643811173c1d123ee27b33e8528fe2b1715b39dbf,CryptoPunk #6050
0xe2ca7390e76c5a992749bb622087310d2e63ca29,63.63,196203.7413,0x6f4a2d3a4f47f9c647d86c929755593911ee91ec,1/11/2022,3993,0x064713b3159ed9bd288f3bc1c007f84885fd695bec130872273b068ada921971,CryptoPunk #3993
0x0000000000000000000000000000000000000000,0,0,0xb0161d9457f9e4ebee1bf700daa0001126158c68,1/11/2022,3842,0x2e768cbdc1f22c9f6193f00db3001047dd16b951556c2e2091f2c3b37aa6bb98,CryptoPunk #3842
0x79330aab8c32e616b4b9b177eeb72264c611118a,63.97,197252.1347,0x60e23da7a0b229902da892ddd6a839382eab04ca,1/11/2022,6558,0x83bd595cdcdc9f98d9cb66de5948aff9edb3c9f51970afa94323076b5cf12179,CryptoPunk #6558
0xbbf8ef0f64a967dfb1b04e2ba4c8c8d3d9eea03d,69.95,215691.5245,0x6639c089adfba8bb9968da643c6be208a70d6daa,1/11/2022,5455,0xaeebc810760898548d4cab0d0abfad74ad7dbd7d35133f95a5869474b8915d4e,CryptoPunk #5455
0x0000000000000000000000000000000000000000,92.8,286149.728,0x6639c089adfba8bb9968da643c6be208a70d6daa,1/11/2022,8599,0xe11703ae9c1c103eb99e92689c4b1a40f09504c8b776a6f730a7685ad69f3d62,CryptoPunk #8599
0x749dd3c5ac6d377054b3c5475ed4a2368151da0c,99,305267.49,0xaa8ff8318e0740fc9c0a1b899a702bdb4ed11efc,1/11/2022,6314,0x5c8d483c14ead6d4cfddc4a059f5efcb129699e7bf5b482a9bb75caff73f3600,CryptoPunk #6314
0x900d60684b0ba29d8c209cafa4fb9a202de8e0ac,73.9,227871.389,0x1844cc9d499d934271438a193561671a1d7ef5e1,1/11/2022,8636,0x9c202fe263d8d041d7bdd8c539657faa121ac179d2ebcf095215b25382e0b77a,CryptoPunk #8636
